review_id,status,classification,severity,change_class,location,equipment,tag_name,baseline_evidence,revised_evidence,requirement_id,requirement_text,requirement_source,test_id,test_title,prerequisites,test_steps,expected_result,reviewer_notes,updated_at
REV-001,Accepted,Regression,Medium,Sequences,P_DC_Cooling/R30_CHWP_Control/rung:2,CHWP01,,"[XIC(SYS_RunRequest),XIC(SYS_PostRunActive)]XIC(SYS_LeadPump1Selected)XIC(DI_CHWP01_Fault)XIO(DI_CHWP02_Fault)OTE(CHWP02_FailoverRequest);","AFI()[XIC(SYS_RunRequest),XIC(SYS_PostRunActive)]XIC(SYS_LeadPump1Selected)XIC(DI_CHWP01_Fault)XIO(DI_CHWP02_Fault)OTE(CHWP02_FailoverRequest);",MAP-DIFF-001,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. 1. Purpose and governing use This document defines the intended control behavior for the synthetic DC1 cooling project. Revision B is the governing requirement source for prototype testing. The baseline PLC export represents Revision A. The revised PLC export is intended to implement Revision B but contains deliberately planted defects. 2. System overview The system serves two data halls using two chilled-water pumps, one common isolation valve, and two air- handling units. One chilled-water pump is selected as lead and the other is standby. Both AHUs can operate when chilled-water flow is proven. Pump speed maintains common chilled-water differential pressure. Equipment Function Lead or standby chilled-water pump with VFD, run CHWP-01 feedback, fault, and flow proof. Lead or standby chilled-water pump with VFD, run CHWP-02 feedback, fault, and flow proof. Common chilled-water isolation valve with open CHWV-01 feedback. Data Hall 1 supply air unit with VFD, run feedback, AHU-01 fault, airflow proof, and supply-air temperature. Data Hall 2 supply air un",pdf-p2-b1,TC-F2S-P102,CHWP02 Failover Request Logic Test,PLC is powered on and in test mode. | DI_CHWP01_Fault is set to 0 (no fault). | DI_CHWP02_Fault is set to 0 (no fault). | SYS_RunRequest is set to 1 (run request active). | SYS_PostRunActive is set to 1 (post run active). | SYS_LeadPump1Selected is set to 1 (pump 1 is selected).,1. Set DI_CHWP01_Fault to 1 (simulate fault on CHWP01). || 2. Verify the state of CHWP02_FailoverRequest tag. || 3. Reset DI_CHWP01_Fault to 0 (clear fault on CHWP01). || 4. Set SYS_LeadPump2Selected to 1 (select pump 2 as lead). || 5. Set DI_CHWP02_Fault to 1 (simulate fault on CHWP02).,CHWP02_FailoverRequest should be set to 1 when CHWP01 is in fault and remain active until CHWP02 also faults or conditions change.,,2026-07-22T16:53:05.349Z
REV-002,Pending,Regression,Medium,Sequences,P_DC_Cooling/R30_CHWP_Control/rung:3,CHWP02,,"[XIC(SYS_RunRequest),XIC(SYS_PostRunActive)]XIC(SYS_LeadPump2Selected)XIC(DI_CHWP02_Fault)XIO(DI_CHWP01_Fault)OTE(CHWP01_FailoverRequest);","AFI()[XIC(SYS_RunRequest),XIC(SYS_PostRunActive)]XIC(SYS_LeadPump2Selected)XIC(DI_CHWP02_Fault)XIO(DI_CHWP01_Fault)OTE(CHWP01_FailoverRequest);",MAP-DIFF-002,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. 1. Purpose and governing use This document defines the intended control behavior for the synthetic DC1 cooling project. Revision B is the governing requirement source for prototype testing. The baseline PLC export represents Revision A. The revised PLC export is intended to implement Revision B but contains deliberately planted defects. 2. System overview The system serves two data halls using two chilled-water pumps, one common isolation valve, and two air- handling units. One chilled-water pump is selected as lead and the other is standby. Both AHUs can operate when chilled-water flow is proven. Pump speed maintains common chilled-water differential pressure. Equipment Function Lead or standby chilled-water pump with VFD, run CHWP-01 feedback, fault, and flow proof. Lead or standby chilled-water pump with VFD, run CHWP-02 feedback, fault, and flow proof. Common chilled-water isolation valve with open CHWV-01 feedback. Data Hall 1 supply air unit with VFD, run feedback, AHU-01 fault, airflow proof, and supply-air temperature. Data Hall 2 supply air un",pdf-p2-b1,TC-F2S-P201,CHWP01 Failover Request Logic Test,PLC is powered on and in test mode. | DI_CHWP01_Fault is set to 0 (no fault). | DI_CHWP02_Fault is set to 0 (no fault). | SYS_RunRequest is set to 1 (system running). | SYS_PostRunActive is set to 1 (post run active). | SYS_LeadPump2Selected is set to 1 (pump 2 selected).,1. Set DI_CHWP01_Fault to 0. || 2. Set DI_CHWP02_Fault to 0. || 3. Set SYS_RunRequest to 1. || 4. Set SYS_PostRunActive to 1. || 5. Set SYS_LeadPump2Selected to 1. || 6. Monitor CHWP01_FailoverRequest tag for changes.,CHWP01_FailoverRequest is set to 1 when all prerequisites are met and no faults are present.,,2026-07-22T16:50:39.235944+00:00
REV-003,Pending,Regression,Critical,Interlocks,P_DC_Cooling/R30_CHWP_Control/rung:5,CHWP02,,"XIC(DI_EPO_Healthy)XIO(DI_FireAlarm_Active)XIO(DI_LeakDetected)GRT(AI_CHW_Suction_PSI,CFG_CHW_SuctionLowTrip_SP)XIC(DI_CHW_IsolationValve_OpenFb)XIO(DI_CHWP02_Fault)OTE(CHWP02_Permissive);","XIC(DI_EPO_Healthy)XIO(DI_FireAlarm_Active)GRT(AI_CHW_Suction_PSI,CFG_CHW_SuctionLowTrip_SP)XIC(DI_CHW_IsolationValve_OpenFb)XIO(DI_CHWP02_Fault)OTE(CHWP02_Permissive);",REQ-013,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. Requirement ID Requirement AHU automatic start shall require proven chilled- REQ-013 water flow. Each AHU shall prove airflow within 15 seconds of REQ-014 a start command or generate a fail-to-start alarm. Manual equipment commands shall remain subject to emergency power-off, fire, leak, REQ-015 equipment fault, and required process permissives. Each AHU supply-air high-temperature alarm shall REQ-016 occur above 88.0 deg F for 30 seconds. Each AHU supply-air high-high-temperature alarm REQ-017 shall occur at or above 95.0 deg F for 10 seconds. A low chilled-water differential-pressure alarm REQ-018 shall occur below 12.0 psi for 20 seconds while the cooling system is running. A data-hall high-temperature alarm shall occur REQ-019 above 90.0 deg F for 30 seconds. The chilled-water differential-pressure control REQ-020 setpoint shall be 20.0 psi. The active pump speed command shall be limited REQ-021 to 30 through 100 percent. AHU supply-fan speed shall be 55 percent from 78 REQ-022 through 82 deg F and 70 percent above 82 deg F. Alarm status shall be e",pdf-p4-b1,TC-F2S-P102,CHWP02 Permissive Interlock Test,PLC is powered and in RUN mode. | DI_EPO_Healthy is TRUE. | DI_FireAlarm_Active is FALSE. | AI_CHW_Suction_PSI is set above CFG_CHW_SuctionLowTrip_SP. | DI_CHW_IsolationValve_OpenFb is TRUE. | DI_CHWP02_Fault is FALSE.,1. Set AI_CHW_Suction_PSI to a value above CFG_CHW_SuctionLowTrip_SP. || 2. Verify DI_EPO_Healthy is TRUE and DI_FireAlarm_Active is FALSE. || 3. Check DI_CHW_IsolationValve_OpenFb is TRUE. || 4. Check DI_CHWP02_Fault is FALSE. || 5. Monitor the state of CHWP02_Permissive.,"CHWP02_Permissive should be TRUE when all conditions are met, indicating the interlock is functioning correctly without the leak detection condition.",,2026-07-22T16:50:39.235944+00:00
REV-004,Unresolved,Behavioral change,Medium,Alarms/Timers,P_DC_Cooling/R30_CHWP_Control/rung:9,CHWP02,,"XIC(CMD_CHWP02_Start)XIO(DI_CHWP02_FlowProof)TON(TMR_CHWP02_FlowProof,CFG_PumpFlowProofTimeout_ms,0);","XIC(CMD_CHWP02_Start)XIO(DI_CHWP02_FlowProof)TON(TMR_CHWP02_FlowProof,25000,0);",MAP-DIFF-004,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. 1. Purpose and governing use This document defines the intended control behavior for the synthetic DC1 cooling project. Revision B is the governing requirement source for prototype testing. The baseline PLC export represents Revision A. The revised PLC export is intended to implement Revision B but contains deliberately planted defects. 2. System overview The system serves two data halls using two chilled-water pumps, one common isolation valve, and two air- handling units. One chilled-water pump is selected as lead and the other is standby. Both AHUs can operate when chilled-water flow is proven. Pump speed maintains common chilled-water differential pressure. Equipment Function Lead or standby chilled-water pump with VFD, run CHWP-01 feedback, fault, and flow proof. Lead or standby chilled-water pump with VFD, run CHWP-02 feedback, fault, and flow proof. Common chilled-water isolation valve with open CHWV-01 feedback. Data Hall 1 supply air unit with VFD, run feedback, AHU-01 fault, airflow proof, and supply-air temperature. Data Hall 2 supply air un",pdf-p2-b1,TC-F2S-P201,Test CHWP02 Flow Proof Timer Adjustment,PLC is powered on and in test mode. | CMD_CHWP02_Start is set to TRUE. | DI_CHWP02_FlowProof is set to FALSE.,1. Set CMD_CHWP02_Start to TRUE. || 2. Set DI_CHWP02_FlowProof to FALSE. || 3. Wait for 25000 ms. || 4. Check the state of TMR_CHWP02_FlowProof after 25000 ms.,"TMR_CHWP02_FlowProof should complete after 25000 ms, indicating the timer functions correctly with the new setting.",,2026-07-22T16:53:34.795Z
REV-005,Pending,Regression,Critical,Interlocks,P_DC_Cooling/R40_AHU_Control/rung:3,AHU02,,XIC(DI_EPO_Healthy)XIO(DI_FireAlarm_Active)XIO(DI_LeakDetected)XIC(SYS_PumpReady)XIO(DI_AHU02_Fault)OTE(AHU02_Permissive);,XIC(DI_EPO_Healthy)XIO(DI_LeakDetected)XIC(SYS_PumpReady)XIO(DI_AHU02_Fault)OTE(AHU02_Permissive);,REQ-001,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. 5. Normal control The active chilled-water pump speed command shall target 20.0 psi differential pressure and shall be clamped between 30 and 100 percent. AHU supply-fan speed shall be 55 percent from 78 through 82 deg F and 70 percent above 82 deg F. Fan speed shall be zero when the AHU is not commanded to run. 6. Shutdown and protective behavior Normal loss of cooling demand stops the AHUs and initiates a 120-second pump and valve post-run. Emergency power-off, leak, and equipment trips immediately remove the affected equipment command. Fire alarm immediately stops both AHUs. Manual mode does not bypass these protections. 7. Detailed requirements Requirement ID Requirement The cooling system shall operate automatically REQ-001 only when HMI_System_AutoEnable and DI_Remote_Enable are both true. All equipment start commands shall be blocked REQ-002 when the emergency power-off loop is not healthy. A fire alarm shall immediately stop both AHU REQ-003 supply fans. Manual commands shall not bypass this interlock. A detected chilled-water leak shall stop b",pdf-p3-b1,TC-F2S-P201,Test AHU02 Permissive Logic,PLC is powered on and in a test mode. | DI_EPO_Healthy is set to true. | SYS_PumpReady is set to true. | DI_AHU02_Fault is set to false.,1. Set DI_LeakDetected to false. || 2. Set DI_FireAlarm_Active to false. || 3. Verify AHU02_Permissive is true. || 4. Set DI_AHU02_Fault to true. || 5. Verify AHU02_Permissive is false. || 6. Set DI_AHU02_Fault to false. || 7. Set DI_LeakDetected to true. || 8. Verify AHU02_Permissive is false.,"AHU02_Permissive should be true when DI_EPO_Healthy is true, DI_FireAlarm_Active is false, DI_LeakDetected is false, and DI_AHU02_Fault is false. AHU02_Permissive should be false when DI_AHU02_Fault is true or DI_LeakDetected is true.",,2026-07-22T16:50:39.235944+00:00
REV-006,Pending,Behavioral change,High,Modes,P_DC_Cooling/R40_AHU_Control/rung:5,AHU02,,"[XIC(AHU02_AutoRequest),XIC(HMI_AHU02_HandCmd)]XIC(AHU02_Permissive)OTE(CMD_AHU02_Start);","[XIC(AHU02_AutoRequest),XIC(HMI_AHU01_HandCmd)]XIC(AHU02_Permissive)OTE(CMD_AHU02_Start);",MAP-DIFF-006,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. 1. Purpose and governing use This document defines the intended control behavior for the synthetic DC1 cooling project. Revision B is the governing requirement source for prototype testing. The baseline PLC export represents Revision A. The revised PLC export is intended to implement Revision B but contains deliberately planted defects. 2. System overview The system serves two data halls using two chilled-water pumps, one common isolation valve, and two air- handling units. One chilled-water pump is selected as lead and the other is standby. Both AHUs can operate when chilled-water flow is proven. Pump speed maintains common chilled-water differential pressure. Equipment Function Lead or standby chilled-water pump with VFD, run CHWP-01 feedback, fault, and flow proof. Lead or standby chilled-water pump with VFD, run CHWP-02 feedback, fault, and flow proof. Common chilled-water isolation valve with open CHWV-01 feedback. Data Hall 1 supply air unit with VFD, run feedback, AHU-01 fault, airflow proof, and supply-air temperature. Data Hall 2 supply air un",pdf-p2-b1,TC-F2S-P201,AHU02 Control Mode Verification,PLC is powered on and in test mode. | HMI_AHU01_HandCmd is simulated as active (true). | AHU02_Permissive is simulated as active (true).,1. Simulate HMI_AHU01_HandCmd as true. || 2. Simulate AHU02_Permissive as true. || 3. Monitor CMD_AHU02_Start tag for state change. || 4. Simulate HMI_AHU01_HandCmd as false. || 5. Monitor CMD_AHU02_Start tag for state change.,"CMD_AHU02_Start should be true when HMI_AHU01_HandCmd and AHU02_Permissive are true, and false when HMI_AHU01_HandCmd is false.",,2026-07-22T16:50:39.235944+00:00
REV-007,Pending,Behavioral change,Medium,Alarms/Timers,P_DC_Cooling/R40_AHU_Control/rung:6,AHU01,,"XIC(CMD_AHU01_Start)XIO(DI_AHU01_AirflowProof)TON(TMR_AHU01_AirflowProof,CFG_AHU_AirflowProofTimeout_ms,0);","XIC(CMD_AHU01_Start)XIO(DI_AHU01_AirflowProof)TON(TMR_AHU01_AirflowProof,5000,0);",REQ-013,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. Requirement ID Requirement AHU automatic start shall require proven chilled- REQ-013 water flow. Each AHU shall prove airflow within 15 seconds of REQ-014 a start command or generate a fail-to-start alarm. Manual equipment commands shall remain subject to emergency power-off, fire, leak, REQ-015 equipment fault, and required process permissives. Each AHU supply-air high-temperature alarm shall REQ-016 occur above 88.0 deg F for 30 seconds. Each AHU supply-air high-high-temperature alarm REQ-017 shall occur at or above 95.0 deg F for 10 seconds. A low chilled-water differential-pressure alarm REQ-018 shall occur below 12.0 psi for 20 seconds while the cooling system is running. A data-hall high-temperature alarm shall occur REQ-019 above 90.0 deg F for 30 seconds. The chilled-water differential-pressure control REQ-020 setpoint shall be 20.0 psi. The active pump speed command shall be limited REQ-021 to 30 through 100 percent. AHU supply-fan speed shall be 55 percent from 78 REQ-022 through 82 deg F and 70 percent above 82 deg F. Alarm status shall be e",pdf-p4-b1,TC-F2S-P101,Test AHU01 Airflow Proof Timer Adjustment,PLC is powered on and in a test mode. | AHU01 is connected and operational in the test environment. | DI_AHU01_AirflowProof is set to '0' (not proven).,1. Set CMD_AHU01_Start to '1' to initiate the AHU01 start command. || 2. Wait for 5000 ms after setting CMD_AHU01_Start. || 3. Check the state of TMR_AHU01_AirflowProof after the wait period. || 4. Set DI_AHU01_AirflowProof to '1' (proven). || 5. Set CMD_AHU01_Start to '0' to stop the command.,"TMR_AHU01_AirflowProof should time out after 5000 ms and transition to the 'done' state if DI_AHU01_AirflowProof remains '0'. If DI_AHU01_AirflowProof is set to '1' before the timeout, the timer should reset and not time out.",,2026-07-22T16:50:39.235944+00:00
REV-008,Pending,Behavioral change,Medium,Alarms/Timers,P_DC_Cooling/R50_Alarms/rung:13,AHU01,,"GEQ(AI_AHU01_SAT_F,CFG_SAT_HighHigh_SP)TON(TMR_AHU01_SAT_HighHigh,CFG_SAT_HighHigh_Delay_ms,0);","GEQ(AI_AHU01_SAT_F,CFG_SAT_HighHigh_SP)TON(TMR_AHU01_SAT_HighHigh,60000,0);",REQ-016,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. PLC Tag Description Value Units Requirement Supply-air high CFG_SAT_High_SP 88.0 deg F REQ-016 alarm threshold CFG_SAT_HighHig Supply-air high- 95.0 deg F REQ-017 h_SP high threshold CFG_SAT_High_Del Supply-air high 30000 ms REQ-016 ay_ms alarm delay CFG_SAT_HighHig Supply-air high- 10000 ms REQ-017 h_Delay_ms high alarm delay CHW differential- CFG_CHW_DP_Lo pressure low 12.0 psi REQ-018 wAlarm_SP alarm CFG_CHW_DP_Lo CHW DP low delay 20000 ms REQ-018 wAlarm_Delay_ms CFG_LeadRotation Lead rotation 168.0 hr REQ-012 _hr advisory interval CHW return- CFG_CHW_Return temperature-high 72.0 deg F REQ-026 High_SP threshold 9. Alarm behavior Alarm definitions, priorities, delays, messages, and operator responses are governed by the separate Alarm List Revision B. Where the PLC export conflicts with the Alarm List or this Sequence of Operations, the approved requirement and Alarm List shall govern for this synthetic test package. 10. Revision history Revision Date Change Initial synthetic design. CHW DP setpoint 18.0 psi, pump proof A 2026-07-10 timeout 10 second",pdf-p5-b1,TC-F2S-P201,Test TMR_AHU01_SAT_HighHigh Timer Configuration,PLC is powered on and in test mode. | AHU01 is connected and operational in the test environment. | CFG_SAT_HighHigh_SP is set to 88.0 deg F for testing.,1. Set AI_AHU01_SAT_F to 95.0 deg F to trigger the high-high alarm condition. || 2. Wait for 60000 ms after the alarm condition is triggered. || 3. Check the status of the alarm system for the high-high saturation alarm.,"TMR_AHU01_SAT_HighHigh should activate after 60000 ms when AI_AHU01_SAT_F is at or above 95.0 deg F, indicating the alarm condition is functioning as intended.",,2026-07-22T16:50:39.235944+00:00
REV-009,Pending,Behavioral change,Medium,Alarms/Timers,P_DC_Cooling/R50_Alarms/rung:15,AHU02,,"GEQ(AI_AHU02_SAT_F,CFG_SAT_HighHigh_SP)TON(TMR_AHU02_SAT_HighHigh,CFG_SAT_HighHigh_Delay_ms,0);","GEQ(AI_AHU02_SAT_F,CFG_SAT_HighHigh_SP)TON(TMR_AHU02_SAT_HighHigh,60000,0);",REQ-016,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. PLC Tag Description Value Units Requirement Supply-air high CFG_SAT_High_SP 88.0 deg F REQ-016 alarm threshold CFG_SAT_HighHig Supply-air high- 95.0 deg F REQ-017 h_SP high threshold CFG_SAT_High_Del Supply-air high 30000 ms REQ-016 ay_ms alarm delay CFG_SAT_HighHig Supply-air high- 10000 ms REQ-017 h_Delay_ms high alarm delay CHW differential- CFG_CHW_DP_Lo pressure low 12.0 psi REQ-018 wAlarm_SP alarm CFG_CHW_DP_Lo CHW DP low delay 20000 ms REQ-018 wAlarm_Delay_ms CFG_LeadRotation Lead rotation 168.0 hr REQ-012 _hr advisory interval CHW return- CFG_CHW_Return temperature-high 72.0 deg F REQ-026 High_SP threshold 9. Alarm behavior Alarm definitions, priorities, delays, messages, and operator responses are governed by the separate Alarm List Revision B. Where the PLC export conflicts with the Alarm List or this Sequence of Operations, the approved requirement and Alarm List shall govern for this synthetic test package. 10. Revision history Revision Date Change Initial synthetic design. CHW DP setpoint 18.0 psi, pump proof A 2026-07-10 timeout 10 second",pdf-p5-b1,TC-F2S-P201,Test AHU02 High High SAT Alarm Timer,PLC is powered on and in run mode. | AHU02 is connected and operational in the test environment.,1. Simulate the supply air temperature (AI_AHU02_SAT_F) to exceed the high high threshold (CFG_SAT_HighHigh_SP = 95.0 deg F). || 2. Check the status of TMR_AHU02_SAT_HighHigh after 60000 ms. || 3. Verify that the high high SAT alarm is triggered after the timer completes.,"The high high SAT alarm should activate after 60000 ms when the supply air temperature exceeds 95.0 deg F, confirming the timer operates as intended.",,2026-07-22T16:50:39.235944+00:00
REV-010,Pending,Behavioral change,Medium,Alarms/Timers,ControllerTag/CFG_CHW_DP_LowAlarm_SP,,CFG_CHW_DP_LowAlarm_SP,CFG_CHW_DP_LowAlarm_SP = 12,CFG_CHW_DP_LowAlarm_SP = 8,REQ-016,"DC1 Cooling Sequence of Operations Rev B | SYNTHETIC TEST DATA ONLY. NOT FOR FIELD INSTALLATION, COMMISSIONING, OR OPERATIONAL USE. PLC Tag Description Value Units Requirement Supply-air high CFG_SAT_High_SP 88.0 deg F REQ-016 alarm threshold CFG_SAT_HighHig Supply-air high- 95.0 deg F REQ-017 h_SP high threshold CFG_SAT_High_Del Supply-air high 30000 ms REQ-016 ay_ms alarm delay CFG_SAT_HighHig Supply-air high- 10000 ms REQ-017 h_Delay_ms high alarm delay CHW differential- CFG_CHW_DP_Lo pressure low 12.0 psi REQ-018 wAlarm_SP alarm CFG_CHW_DP_Lo CHW DP low delay 20000 ms REQ-018 wAlarm_Delay_ms CFG_LeadRotation Lead rotation 168.0 hr REQ-012 _hr advisory interval CHW return- CFG_CHW_Return temperature-high 72.0 deg F REQ-026 High_SP threshold 9. Alarm behavior Alarm definitions, priorities, delays, messages, and operator responses are governed by the separate Alarm List Revision B. Where the PLC export conflicts with the Alarm List or this Sequence of Operations, the approved requirement and Alarm List shall govern for this synthetic test package. 10. Revision history Revision Date Change Initial synthetic design. CHW DP setpoint 18.0 psi, pump proof A 2026-07-10 timeout 10 second",pdf-p5-b1,TC-F2S-P201,Verify CFG_CHW_DP_LowAlarm_SP Change to 8 psi,PLC is powered on and in run mode. | CHW system is connected and operational in the test environment.,1. Set CFG_CHW_DP_LowAlarm_SP to 8 psi in the PLC configuration. || 2. Simulate a CHW differential pressure of 7 psi using AI_CHW_DP_PSI. || 3. Check the status of ALM_CHW_DP_Low. || 4. Reset the alarm and return the CHW differential pressure to normal (above 8 psi).,The alarm for low CHW differential pressure activates at 7 psi and resets correctly when pressure is above 8 psi.,,2026-07-22T16:50:39.235944+00:00
